estado,x,y
Aguascalientes,-39,-52
Baja California,-328,228
Baja California Sur,-272,34
Campeche,240,-150
Chiapas,195,-187
Chihuahua,-138,134
Ciudad De México,26,-126
Coahuila,-45,80
Colima,-77,-124
Durango,-105,17
Estado De México,9,-103
Guanajuato,-11,-72
Guerrero,0,-166
Hidalgo,40,-90
Jalisco,-73,-84
Michoacán,-36,-128
Morelos,45,-137
Nayarit,-108,-44
Nuevo León,15,34
Oaxaca,100,-189
Puebla,67,-148
Querétaro,26,-80
Quintana Roo,285,-116
San Luis Potosí,-19,-32
Sinaloa,-174,44
Sonora,-217,154
Tabasco,185,-152
Tamaulipas,40,-9
Tlaxcala,69,-116
Veracruz,115,-145
Yucatán,272,-80
Zacatecas,-68,-20
